open,high,low,close,date,volume
1583.94,1602.68,1576.58,1593.08,22-09-2023 00:00,124886.091
1593.07,1598.24,1587.45,1593.86,23-09-2023 00:00,64537.1341
1593.85,1601.12,1570.01,1580.71,24-09-2023 00:00,137517.8533
1580.71,1597.5,1563.01,1588.33,25-09-2023 00:00,176706.9277
1588.34,1599.78,1580.05,1594.01,26-09-2023 00:00,125583.0161
1594.02,1634.1,1583.5,1598.64,27-09-2023 00:00,274404.4328
1598.63,1668.21,1598.14,1652.99,28-09-2023 00:00,331409.7015
1653.0,1688.0,1648.37,1667.45,29-09-2023 00:00,251975.6728
1667.45,1694.32,1666.19,1670.89,30-09-2023 00:00,136924.9141
1670.89,1751.0,1668.0,1733.79,01-10-2023 00:00,225611.5868
1733.8,1744.0,1636.79,1662.4,02-10-2023 00:00,378575.6898
1662.41,1670.65,1643.0,1656.88,03-10-2023 00:00,198287.1164
1656.88,1657.66,1625.0,1646.58,04-10-2023 00:00,222861.7167
1646.58,1655.47,1606.73,1611.79,05-10-2023 00:00,237378.7449
1611.79,1662.0,1611.68,1645.03,06-10-2023 00:00,220507.9286
1645.03,1647.71,1630.03,1633.57,07-10-2023 00:00,101241.5732
1633.56,1641.4,1616.17,1632.84,08-10-2023 00:00,149424.6635
1632.85,1636.0,1546.0,1580.13,09-10-2023 00:00,340141.0988
1580.13,1594.9,1550.55,1567.63,10-10-2023 00:00,240659.3287
1567.62,1578.43,1544.26,1566.87,11-10-2023 00:00,260253.9671
1566.86,1568.56,1521.0,1539.61,12-10-2023 00:00,237221.4977
1539.61,1575.36,1537.76,1552.16,13-10-2023 00:00,192205.8736
1552.16,1561.72,1544.55,1554.94,14-10-2023 00:00,100314.6754
1554.94,1567.62,1547.44,1557.77,15-10-2023 00:00,120311.2738
1557.78,1639.43,1555.06,1599.42,16-10-2023 00:00,418510.8644
1599.41,1600.53,1551.08,1565.01,17-10-2023 00:00,234817.0699
1565.01,1585.42,1555.88,1563.44,18-10-2023 00:00,177750.2253
1563.45,1574.45,1541.61,1566.57,19-10-2023 00:00,216217.6675
1566.57,1630.4,1561.19,1603.89,20-10-2023 00:00,315995.792
1603.88,1644.53,1592.36,1628.94,21-10-2023 00:00,176419.4092
1628.94,1667.8,1621.1,1663.7,22-10-2023 00:00,228650.9225
1663.69,1800.0,1657.07,1765.46,23-10-2023 00:00,610931.9663
1765.47,1854.38,1756.21,1784.98,24-10-2023 00:00,674055.1375
1784.98,1817.69,1760.0,1787.15,25-10-2023 00:00,354410.8294
1787.15,1865.54,1762.21,1803.38,26-10-2023 00:00,431169.0453
1803.39,1803.91,1744.66,1779.4,27-10-2023 00:00,274532.6921
1779.41,1803.23,1770.0,1776.2,28-10-2023 00:00,122919.7382
1776.21,1811.3,1762.66,1795.14,29-10-2023 00:00,144110.6508
1795.14,1829.84,1777.77,1809.04,30-10-2023 00:00,277686.192
1809.03,1819.41,1780.99,1814.67,31-10-2023 00:00,258074.5796
1814.67,1857.66,1783.19,1846.99,01-11-2023 00:00,471921.6184
1846.99,1875.0,1785.01,1800.8,02-11-2023 00:00,368738.2193
1800.79,1834.58,1777.11,1832.71,03-11-2023 00:00,315000.2678
1832.7,1869.9,1824.03,1855.54,04-11-2023 00:00,171538.0364
1855.54,1912.67,1846.11,1891.71,05-11-2023 00:00,383106.7628
1891.71,1914.23,1868.48,1900.95,06-11-2023 00:00,328746.2394
1900.95,1906.99,1850.32,1885.27,07-11-2023 00:00,332419.4406
1885.26,1904.69,1872.51,1888.12,08-11-2023 00:00,247881.0997
1888.11,2132.0,1882.07,2121.32,09-11-2023 00:00,1100330.3237
2121.33,2136.99,2064.61,2077.72,10-11-2023 00:00,555573.6495
2077.72,2089.6,2030.3,2053.17,11-11-2023 00:00,370966.0372
2053.16,2066.5,2012.1,2044.68,12-11-2023 00:00,281907.559
2044.69,2118.0,2028.49,2053.65,13-11-2023 00:00,529143.5815
2053.65,2064.96,1936.6,1979.39,14-11-2023 00:00,481909.733
1979.4,2062.4,1967.01,2058.48,15-11-2023 00:00,421870.8032
