date,open,high,low,close,volume,CDL_DOJI_10_0.1
11-02-2025 20:10,2603.28,2603.36,2596.07,2597.91,1273.1353,0.0
11-02-2025 20:15,2597.88,2597.88,2588.41,2591.1,2194.4495,0.0
11-02-2025 20:20,2591.1,2595.94,2585.75,2592.56,3629.1805,0.0
11-02-2025 20:25,2592.55,2601.14,2587.43,2600.01,3811.3701,0.0
11-02-2025 20:30,2600.0,2612.25,2597.58,2610.53,3456.1668,0.0
11-02-2025 20:35,2610.53,2611.31,2601.65,2603.06,3009.2237,0.0
11-02-2025 20:40,2603.06,2603.42,2591.79,2591.85,2784.9229,0.0
11-02-2025 20:45,2591.85,2596.26,2585.51,2595.5,2701.9138,0.0
11-02-2025 20:50,2595.5,2598.9,2592.03,2596.8,2748.9619,0.0
11-02-2025 20:55,2596.8,2600.84,2593.01,2598.44,4282.0119,0.0
11-02-2025 21:00,2598.32,2605.7,2597.11,2598.88,3676.2774,100.0
11-02-2025 21:05,2598.87,2598.94,2592.15,2594.74,3581.4618,0.0
11-02-2025 21:10,2594.74,2603.55,2594.73,2601.23,1152.1583,0.0
11-02-2025 21:15,2601.23,2610.47,2599.49,2609.79,1338.4034,0.0
11-02-2025 21:20,2609.79,2614.19,2608.68,2611.29,2010.0474,0.0
11-02-2025 21:25,2611.3,2617.83,2609.37,2609.38,2033.3281,0.0
11-02-2025 21:30,2609.38,2619.63,2608.04,2619.41,2341.3538,0.0
11-02-2025 21:35,2619.41,2626.45,2618.12,2625.4,1389.6756,0.0
11-02-2025 21:40,2625.39,2629.0,2624.12,2628.88,1006.4799,0.0
11-02-2025 21:45,2628.88,2631.36,2622.88,2626.2,2286.7353,0.0
11-02-2025 21:50,2626.2,2626.2,2619.66,2619.69,1025.6323,0.0
11-02-2025 21:55,2619.7,2625.59,2618.51,2622.12,806.4262,0.0
11-02-2025 22:00,2622.11,2628.5,2620.8,2627.14,930.9109,0.0
11-02-2025 22:05,2627.13,2628.99,2621.91,2623.57,1047.6706,0.0
11-02-2025 22:10,2623.57,2628.4,2623.56,2624.13,822.1355,100.0
11-02-2025 22:15,2624.12,2629.15,2621.1,2626.53,1027.4121,0.0
11-02-2025 22:20,2626.53,2631.16,2625.34,2631.16,893.0841,0.0
11-02-2025 22:25,2631.16,2631.29,2628.81,2629.15,733.4782,0.0
11-02-2025 22:30,2629.14,2629.14,2620.27,2620.85,794.9835,0.0
11-02-2025 22:35,2620.85,2620.85,2607.0,2614.43,1714.413,0.0
11-02-2025 22:40,2614.44,2614.68,2602.17,2606.47,1193.1712,0.0
11-02-2025 22:45,2606.48,2613.06,2606.2,2612.05,863.9522,0.0
11-02-2025 22:50,2612.06,2612.27,2598.05,2601.41,1709.5335,0.0
11-02-2025 22:55,2601.4,2604.86,2558.24,2586.39,15332.2214,0.0
11-02-2025 23:00,2586.4,2597.77,2584.84,2591.42,3972.142,0.0
11-02-2025 23:05,2591.42,2601.3,2590.4,2601.29,1230.2417,0.0
11-02-2025 23:10,2601.3,2603.64,2598.5,2601.11,1220.9728,100.0
11-02-2025 23:15,2601.1,2604.99,2598.5,2599.34,900.3984,0.0
11-02-2025 23:20,2599.34,2608.95,2599.34,2608.78,1168.4806,0.0
11-02-2025 23:25,2608.71,2609.81,2606.8,2608.72,762.5245,100.0
11-02-2025 23:30,2608.72,2611.77,2606.81,2611.77,581.1765,0.0
11-02-2025 23:35,2611.77,2611.77,2600.99,2604.2,4069.4918,0.0
11-02-2025 23:40,2604.19,2605.76,2600.63,2600.81,905.3238,0.0
11-02-2025 23:45,2600.81,2606.3,2600.4,2603.33,634.8924,0.0
11-02-2025 23:50,2603.33,2605.5,2602.8,2602.89,376.939,100.0
11-02-2025 23:55,2602.89,2603.6,2601.01,2602.59,430.2234,100.0
12-02-2025 00:00,2602.59,2605.33,2596.0,2605.11,1519.095,0.0
