open,high,low,close,date,volume
26568.08,26743.38,26468.77,26580.14,22-09-2023 00:00,18198.2292
26580.14,26632.81,26509.0,26575.96,23-09-2023 00:00,9440.7026
26575.97,26738.54,26122.08,26248.38,24-09-2023 00:00,15706.65771
26248.39,26446.15,25990.46,26304.81,25-09-2023 00:00,26266.2039
26304.8,26397.46,26088.34,26221.67,26-09-2023 00:00,18495.35066
26221.68,26850.0,26112.06,26372.99,27-09-2023 00:00,34771.57978
26373.0,27308.48,26342.4,27021.39,28-09-2023 00:00,44517.83491
27021.39,27244.89,26665.16,26906.96,29-09-2023 00:00,28478.76219
26906.96,27094.99,26886.31,26962.56,30-09-2023 00:00,12804.62307
26962.57,28065.51,26954.09,27992.57,01-10-2023 00:00,24602.81468
27992.58,28580.0,27281.44,27494.51,02-10-2023 00:00,57071.14241
27494.51,27676.52,27160.5,27426.46,03-10-2023 00:00,28928.96555
27426.45,27839.72,27202.0,27778.57,04-10-2023 00:00,29816.142
27778.57,28120.39,27352.0,27410.39,05-10-2023 00:00,30681.49619
27410.39,28295.0,27175.94,27931.09,06-10-2023 00:00,37983.24277
27931.1,28029.67,27842.08,27956.67,07-10-2023 00:00,13348.83825
27956.67,28095.14,27687.5,27917.05,08-10-2023 00:00,19693.56921
27917.06,27987.93,27260.0,27590.12,09-10-2023 00:00,31534.74639
27590.12,27735.0,27298.0,27390.12,10-10-2023 00:00,22776.84383
27390.12,27477.39,26538.66,26875.52,11-10-2023 00:00,37349.44706
26875.52,26947.04,26555.0,26759.63,12-10-2023 00:00,23428.64112
26759.63,27130.0,26685.0,26862.0,13-10-2023 00:00,24115.76499
26862.0,26989.58,26789.0,26852.48,14-10-2023 00:00,10417.25576
26852.48,27293.33,26808.25,27154.15,15-10-2023 00:00,15274.6917
27154.14,30000.0,27112.66,28500.78,16-10-2023 00:00,78399.22445
28500.77,28613.65,28069.32,28395.91,17-10-2023 00:00,38428.44532
28395.91,28982.36,28142.87,28320.0,18-10-2023 00:00,32162.47591
28320.0,28916.89,28100.66,28713.71,19-10-2023 00:00,35895.50179
28713.71,30207.55,28578.29,29669.04,20-10-2023 00:00,59422.0992
29669.05,30379.99,29464.77,29909.8,21-10-2023 00:00,27517.51897
29909.8,30248.0,29640.0,29992.46,22-10-2023 00:00,22852.54563
29992.46,34741.91,29883.6,33069.99,23-10-2023 00:00,93513.64246
33069.99,35280.0,32832.34,33922.73,24-10-2023 00:00,115265.02418
33922.73,35132.85,33679.05,34496.05,25-10-2023 00:00,54887.02529
34496.05,34824.13,33751.0,34151.66,26-10-2023 00:00,39744.66255
34151.66,34245.0,33390.95,33892.02,27-10-2023 00:00,32330.40106
33892.01,34493.33,33860.0,34081.0,28-10-2023 00:00,16880.13144
34081.01,34750.11,33930.0,34525.89,29-10-2023 00:00,20685.52176
34525.88,34856.0,34062.84,34474.73,30-10-2023 00:00,33657.95976
34474.74,34720.49,34025.0,34639.77,31-10-2023 00:00,32737.89822
34639.78,35582.0,34097.39,35421.43,01-11-2023 00:00,53473.28165
35421.43,35984.99,34300.0,34941.59,02-11-2023 00:00,48015.57732
34941.58,34946.5,34120.0,34716.78,03-11-2023 00:00,39071.20644
34716.78,35255.0,34585.18,35062.07,04-11-2023 00:00,18377.55545
35062.06,35380.0,34448.0,35011.88,05-11-2023 00:00,24528.73376
35011.89,35276.33,34725.9,35046.09,06-11-2023 00:00,22346.47086
35046.09,35888.0,34523.06,35399.12,07-11-2023 00:00,38688.73692
35399.13,36106.0,35100.0,35624.72,08-11-2023 00:00,33401.34137
35624.72,37972.24,35534.05,36701.09,09-11-2023 00:00,82537.88885
36701.1,37526.0,36324.71,37301.63,10-11-2023 00:00,43414.04898
37301.63,37408.26,36666.93,37130.0,11-11-2023 00:00,22984.97235
37129.99,37222.22,36731.1,37064.13,12-11-2023 00:00,17687.18874
37064.13,37417.99,36333.0,36462.93,13-11-2023 00:00,32798.18252
36462.93,36744.0,34800.0,35551.19,14-11-2023 00:00,45503.68416
35551.2,37980.0,35360.0,37858.2,15-11-2023 00:00,53569.13385
37858.2,37929.54,35500.0,36163.51,16-11-2023 00:00,47490.39566
36163.51,36800.0,35861.1,36613.92,17-11-2023 00:00,38283.61112
36613.91,36845.49,36178.58,36568.1,18-11-2023 00:00,17102.24186
36568.11,37500.0,36384.02,37359.86,19-11-2023 00:00,21246.34648
37359.85,37750.0,36677.0,37448.78,20-11-2023 00:00,36022.70291
37448.79,37649.44,35735.0,35741.65,21-11-2023 00:00,47646.54804
35741.65,37861.1,35632.01,37408.34,22-11-2023 00:00,45051.30697
37408.35,37653.44,36870.0,37294.28,23-11-2023 00:00,23827.92882
37294.27,38414.0,37251.51,37713.57,24-11-2023 00:00,44680.80646
37713.57,37888.0,37591.1,37780.67,25-11-2023 00:00,11396.14464
37780.67,37814.63,37150.0,37447.43,26-11-2023 00:00,21264.53723
37447.42,37569.23,36707.0,37242.7,27-11-2023 00:00,30001.07376
